Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17
NAME,X,Y,LABELS,tumor,cell.type,treatment,OE.B.cell,OE.CAF,OE.Endo.,OE.Macrophage,OE.NK,OE.T.CD4,OE.T.CD8,OE.T.cell,no.genes,log.no.reads
TYPE,numeric,numeric,group,group,group,group,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric
cy84_Primary_CD45_pos_A09_S393_comb, -7.054441563,-14.034037371,Mel84,Mel84,T.CD4,TN,-0.3786618083,-3.698161e-02,-1.294354e-01,-6.746821e-02,-1.939945e-02, 1.2585278784,-0.3960341878, 0.6539301681, 3542,11.799817
cy84_Met_CD45_pos_C08_S896_comb,-31.663616925,  5.402001860,Mel84,Mel84,T.CD8,TN,-0.1921599143, 2.135370e-02,-5.249881e-02,-1.268849e-01, 9.505626e-01, 0.6332235243, 0.3031715196, 0.9275042452, 2476,11.359984
cy79_p3_CD45_pos_PD1_pos_AS_C2_R1_B10_S406_comb, -8.457317217, 16.798089202,Mel79,Mel79,T.CD8,TN,-0.4882194886, 7.468172e-06, 2.026555e-02,-2.372058e-01, 1.827941e-01,-0.4568183390, 0.6908940216, 0.1342170534, 3526,11.939898
Cy81_FNA_CD45_D07_S235_comb,-15.449206697,-14.874998971,Mel81,Mel81,T.CD8,TN, 0.0817890917, 3.488374e-02,-2.785985e-02,-2.456070e-01,-6.373570e-02, 1.2055041730,-0.3047962386, 0.3283586605, 3071,12.017300
Cy72_CD45_D07_S715_comb, -9.299042112,-15.781549359,Mel72,Mel72,T.CD4,ICR,-0.4579164482, 3.786400e-02, 1.045348e-02,-2.242342e-01, 2.075806e-02, 0.7461500524,-0.4313950472, 0.7428291633, 2718,11.332794
cy79_p4_CD45_pos_PD1_pos_G07_S367_comb,-17.848618055, 22.350369127,Mel79,Mel79,T.CD8,TN,-0.3285638107, 5.120194e-02,-9.907207e-02,-1.910953e-01, 2.469991e-01, 0.2770720692, 0.8888239051, 0.3806990017, 3591,12.141587
cy79_p1_CD45_pos_PD1_neg_AS_C1_R2_H08_S572_comb,  7.274455783, -9.066023229,Mel79,Mel79,T.CD8,TN, 0.0340150503,-5.353409e-02, 2.578667e-02,-2.780381e-01,-1.313098e-01, 0.7791854687,-0.4997219100, 0.2175063554, 3507,11.059803
cy80_CD45_neg_C11_S419_comb,  4.699695062, 35.226829346,Mel80,Mel80,T.cell,TN,-0.8283628053,-1.709426e-01,-1.873831e-01,-3.972228e-01,-7.016495e-02,-0.3905630453,-0.0879937728, 0.1754931547, 5899,12.367660
Cy72_CD45_E08_S728_comb,-11.029273754,-11.913577444,Mel72,Mel72,T.CD8,ICR,-0.1335213520, 6.927014e-02,-4.922666e-02,-2.820945e-01,-2.504275e-01, 1.1410538240, 0.1892100424, 0.3277717816, 2984,10.906671
cy72_CD45_pos_B03_S879_comb, 12.089633059, -5.857902306,Mel72,Mel72,T.cell,ICR,-0.1045694809,-5.486471e-02,-8.446028e-02,-3.362009e-01,-4.137232e-01, 1.0213289746,-0.1037405066, 0.4821972331, 4290,11.468974
cy84_Primary_CD45_pos_E05_S437_comb, -8.887090830,-21.015133918,Mel84,Mel84,T.cell,TN, 0.0130251458, 3.152050e-02,-3.216990e-02,-2.373170e-01,-8.271825e-02, 0.5022565215,-0.2273341905, 0.4925741137, 2046,10.182633
cy80_CD45_pos_PD1_pos_G05_S173_comb, -5.679521225, 15.279324877,Mel80,Mel80,T.CD8,TN,-0.6057225206,-8.065141e-02,-1.355603e-01,-3.490762e-01, 1.096695e-01,-0.1385258561, 1.0946077173, 0.2358418656, 2858, 9.953230
Cy71_CD45_B07_S499_comb,-21.049764081,  1.262662933,Mel71,Mel71,T.CD8,TN,-0.2040549890,-5.233812e-03,-3.388722e-02,-1.429742e-01, 9.022004e-01,-0.3140874112, 1.0756696120, 0.4885309343, 2075,10.115772
cy94_cd45pos_A05_S101_comb, -3.504339107,-21.200765237,Mel94,Mel94,T.cell,ICR,-0.1520523350,-5.046425e-03,-6.705532e-02,-2.785359e-01,-5.907463e-02, 1.0091312892,-0.1467930691, 0.1412525272, 3371,11.890828
cy53_1_CD45_pos_1_H03_S87_comb, 13.141530115, -9.360949887,Mel53,Mel53,T.cell,TN,-0.2469291170,-4.799782e-02,-1.182401e-01,-3.828191e-01,-6.166489e-01, 0.6601682316,-0.7233192027, 0.3056926452, 4756,12.525631
