Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14
NAME,X,Y,LABELS,tumor,treatment,Immune_resistance,Immune_resistance.up,Immune_resistance.down,OE.Immune_resistance,OE.Immune_resistance.up,OE.Immune_resistance.down,no.genes,log.no.reads
TYPE,numeric,numeric,group,group,group,group,group,group,numeric,numeric,numeric,numeric,numeric
cy81_Bulk_CD45_neg_E07_S151_comb, -6.12424143,-48.25932689,Mel81,Mel81,TN,low,low,high, 0.104698740, 0.009288838,-0.0954099023,11432,13.308441
cy79_p5_CD45_neg_PDL1_pos_A10_S682_comb, 38.99826559,  0.12422153,Mel79,Mel79,TN,low,low,high,-0.856538513,-0.278817854, 0.5777206586, 3380,11.834320
CY88_3_B02_S590_comb, 10.07317650, 47.27244094,Mel88,Mel88,ICR,high,high,low, 0.604564887, 0.139859631,-0.4647052556, 8047,13.390641
cy79_p5_CD45_neg_PDL1_neg_D04_S808_comb, 31.56457082, 10.27948434,Mel79,Mel79,TN,low,low,high,-2.788676816,-1.065074190, 1.7236026263, 3409,10.856746
cy78_CD45_neg_2_C08_S608_comb,-29.37624929, 41.76116980,Mel78,Mel78,ICR,high,high,low, 0.372282780, 0.102418580,-0.2698641997, 4821,11.723899
cy79_p4_CD45_neg_PDL1_neg_G08_S1136_comb, 39.10605038,  0.56564782,Mel79,Mel79,TN,low,low,high,-2.575302496,-0.847473045, 1.7278294514, 3631,11.664203
cy78_CD45_neg_3_D02_S710_comb,-30.41420205, 39.25701183,Mel78,Mel78,ICR,low,high,high, 0.149816099, 0.107839322,-0.0419767772, 5613,12.333229
CY89FNAQ2_C11_S419_comb, -5.74231762,  2.74035644,Mel89,Mel89,TN,low,low,high,-0.857477203,-0.467297224, 0.3901799783, 8729,11.630255
cy79_p3_CD45_neg_PD1_pos_AS_C3_R1_D04_S328_comb, 41.56727478, -4.27390194,Mel79,Mel79,TN,low,low,high,-2.297959488,-0.869996725, 1.4279627630, 2906,10.507831
CY88_5_F08_S740_comb,  0.71571823, 47.90708224,Mel88,Mel88,ICR,high,high,low, 0.667601377, 0.388948274,-0.2786531033, 5195,12.600440
Cy71_CD45_H07_S571_comb, -4.43497951, 10.28200253,Mel71,Mel71,TN,high,high,high, 0.386207670, 0.329754791,-0.0564528787, 3557,11.345098
cy79_p3_CD45_neg_PDL1_neg_A07_S199_comb, -0.70386768,  2.27160864,Mel79,Mel79,TN,low,low,high,-1.427351132,-0.319536095, 1.1078150375, 2772,10.205590
CY88_3_H12_S672_comb,  8.13593245, 52.69701248,Mel88,Mel88,ICR,high,high,low, 0.444904541, 0.041322775,-0.4035817661,11399,12.762684
CY88_3_D06_S618_comb,  8.66358559, 48.84812425,Mel88,Mel88,ICR,high,high,low, 0.720356262, 0.188525095,-0.5318311668, 8110,13.153325
cy79_p5_CD45_neg_PDL1_neg_B04_S784_comb,  9.12323398,  2.50626644,Mel79,Mel79,TN,low,low,high,-2.495371132,-1.003561398, 1.4918097334, 4100,11.462463
Cy71_CD45_A04_S484_comb,-46.60493577,-22.46910504,Mel71,Mel71,TN,high,low,low, 0.202107846,-0.020252042,-0.2223598875, 4514,11.928176
CY88CD45_150813_F03_S351_comb, -9.37645297, 10.76563159,Mel88,Mel88,ICR,low,low,low, 0.082736336,-0.079356803,-0.1620931390, 2809,11.477060
CY88_5_F12_S744_comb,  7.37245082, 49.55864678,Mel88,Mel88,ICR,high,high,low, 0.766864572, 0.090399496,-0.6764650762, 6458,12.661175
