Column1,Column2,Column3,Column1,Column2,Column3,,,
NAME,X,Y,NAME,CLUSTER,SUB-CLUSTER,,,
TYPE,numeric,numeric,TYPE,group,group,,,
CY58_1_CD45_D04_S1000_comb,-9.953477789,49.76428889,Cy74_CD45_F02_S446_comb,T,T,cy84-Met-CD45-pos-B08-S884-comb,T,T
Cy72_CD45_A11_S683_comb,-8.038357802,52.83300607,Cy81_FNA_CD45_B08_S212_comb,T,T,cy80-CD45-neg-E06-S438-comb,T,T
Cy81_FNA_CD45_C11_S227_comb,-22.82631612,57.3863201,Cy71_CD45_D12_S528_comb,T,T,cy80-CD45-neg-D05-S425-comb,T,T
Cy72_CD45_E10_S730_comb,-15.99267552,62.36717624,Cy74_CD45_C03_S411_comb,B,B,cy84-Met-CD45-pos-F11-S935-comb,T,T
CY58_1_CD45_F09_S1029_comb,-16.84478187,62.57374261,Cy71_CD45_A04_S484_comb,undefined,undefined,cy80-CD45-neg-D08-S428-comb,T,T
CY58_1_CD45_B06_S978_comb,-20.35768182,-66.90144041,Cy74_CD45_H06_S474_comb,T,T,cy80-CD45-neg-E07-S439-comb,T,T
CY58_1_CD45_E05_S1013_comb,-54.19997073,6.472156528,Cy72_CD45_H06_S762_comb,T,T,cy84_Primary_CD45_pos_E03_S435_comb,B,B
Cy74_CD45_D08_S428_comb,52.96556772,-57.9842697,Cy81_Bulk_CD45_D05_S137_comb,undefined,undefined,cy84_Primary_CD45_pos_C05_S413_comb,T,T
CY58_1_CD45_F04_S1024_comb,-33.98246645,4.853368815,Cy72_CD45_A05_S677_comb,B,B,cy84_Primary_CD45_pos_H12_S480_comb,B,B
Cy72_CD45_A01_S673_comb,-2.388653773,-28.35463465,Cy72_CD45_G01_S745_comb,T,T,cy84_Primary_CD45_pos_E08_S440_comb,NK,NK
CY58_1_CD45_F12_S1032_comb,-16.0601959,44.280922,Cy74_CD45_H12_S480_comb,T,T,cy84_Primary_CD45_pos_A09_S393_comb,T,T
CY58_1_CD45_G09_S1041_comb,-9.04827116,34.84571906,CY58_1_CD45_G11_S1043_comb,T,T,cy84_Primary_CD45_pos_E05_S437_comb,T,T
Cy81_FNA_CD45_F04_S256_comb,-54.74593422,39.39690665,CY58_1_CD45_D04_S1000_comb,T,T,cy84_Primary_CD45_pos_B03_S399_comb,B,B
Cy74_CD45_C10_S418_comb,-21.53206517,-68.14605349,Cy71_CD45_D04_S520_comb,undefined,undefined,cy84_Primary_CD45_pos_H09_S477_comb,T,T
Cy74_CD45_G04_S460_comb,-31.47265318,50.63742855,Cy72_CD45_A11_S683_comb,T,T,cy84_Primary_CD45_pos_A06_S390_comb,T,T
CY58_1_CD45_C03_S987_comb,-12.18500646,50.69145391,Cy81_FNA_CD45_C11_S227_comb,T,T,cy84_Primary_CD45_pos_G06_S462_comb,T,T
Cy81_Bulk_CD45_F04_S160_comb,59.61814325,3.934415217,Cy71_CD45_F03_S543_comb,T,T,cy84_Primary_CD45_pos_C01_S409_comb,T,T
Cy72_CD45_F05_S737_comb,-6.379798398,53.58459955,Cy72_CD45_E10_S730_comb,T,T,cy84_Primary_CD45_pos_D07_S427_comb,T,T
Cy72_CD45_G03_S747_comb,55.69478531,-64.45711693,CY58_1_CD45_F09_S1029_comb,T,T,cy84_Primary_CD45_pos_B04_S400_comb,T,T
Cy74_CD45_D03_S423_comb,-9.324264179,35.65651626,CY58_1_CD45_B06_S978_comb,undefined,undefined,cy84_Primary_CD45_pos_E02_S434_comb,T,T
Cy74_CD45_G03_S459_comb,-9.478843195,61.213702,CY58_1_CD45_E05_S1013_comb,T,T,cy84_Primary_CD45_pos_H08_S476_comb,B,B
Cy81_FNA_CD45_A07_S199_comb,-36.65564816,43.17723236,Cy71_CD45_C01_S505_comb,T,T,cy84_Primary_CD45_pos_B08_S404_comb,undefined,undefined
Cy72_CD45_B05_S689_comb,-15.5432009,62.30652319,Cy74_CD45_D08_S428_comb,B,B,cy84_Primary_CD45_pos_C06_S414_comb,T,T
CY58_1_CD45_A07_S967_comb,-52.02516692,6.987702675,CY58_1_CD45_F04_S1024_comb,T,T,cy84_Primary_CD45_pos_E06_S438_comb,B,B
Cy72_CD45_B09_S693_comb,58.53313572,-65.19664028,Cy72_CD45_A01_S673_comb,undefined,undefined,cy84_Primary_CD45_pos_G04_S460_comb,undefined,undefined
CY58_1_CD45_F03_S1023_comb,-11.87088254,49.20349543,CY58_1_CD45_F12_S1032_comb,T,T,cy84_Primary_CD45_pos_H02_S470_comb,T,T
